class,condition,count
class2,user02_fluorescent,15
class2,user02_fluorescent_led,12
class2,user02_lab,13
class2,user02_led,12
class2,user02_natural,17
class3,user02_fluorescent,12
class3,user02_fluorescent_led,13
class3,user02_lab,13
class3,user02_led,15
class3,user02_natural,15
class4,user02_fluorescent,9
class4,user02_fluorescent_led,9
class4,user02_lab,10
class4,user02_led,8
class4,user02_natural,10
class5,user02_fluorescent,10
class5,user02_fluorescent_led,7
class5,user02_lab,9
class5,user02_led,8
class5,user02_natural,9
class6,user02_fluorescent,10
class6,user02_fluorescent_led,8
class6,user02_lab,10
class6,user02_led,9
class6,user02_natural,9
class7,user02_fluorescent,7
class7,user02_fluorescent_led,8
class7,user02_lab,9
class7,user02_led,8
class7,user02_natural,9
